"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0014003","oligodendrocyte development",36,-0.558128324425752,-1.73853157427994,0.0028993864983367,0.0313042242443691,0.0249034816643184,2689,"tags=44%, list=20%, signal=36%","9331/443/2824/1191/7040/6663/20/10810/4118/11076/5354/8506/7097/1902/3400/745"
"GO:0021983","pituitary gland development",16,-0.686697492280821,-1.73352883851586,0.00292014232404324,0.0314662580350644,0.025032384572248,2567,"tags=69%, list=19%, signal=56%","3516/2624/9095/650/652/3625/8854/7474/2736/6299/2735"
"GO:0006413","translational initiation",115,0.366371821018718,1.53050923949461,0.0029277425063049,0.0314861738300845,0.025048228205115,4422,"tags=44%, list=33%, signal=30%","8637/6352/3315/6188/23521/6193/3692/5499/8663/8892/8667/8665/8894/6189/51386/10605/57409/5436/6218/8666/22927/8664/8440/27335/23645/4528/8669/8890/1968/1939/2475/3646/10209/9470/10480/51247/8668/400961/1967/22916/100127983/23/219402/28969/6199/1974/4869/8846/8662/10987/83939"
"GO:0050974","detection of mechanical stimulus involved in sensory perception",19,-0.663309095848938,-1.75043389626226,0.00300296374856273,0.0321687349503569,0.0255912267541539,3107,"tags=74%, list=23%, signal=57%","25963/6387/7124/3815/3249/494513/5978/7852/3673/6335/9311/5270/25861/4914"
"GO:0046578","regulation of Ras protein signal transduction",40,-0.537449331880274,-1.70924826570064,0.00299894575951119,0.0321687349503569,0.0255912267541539,1847,"tags=35%, list=14%, signal=30%","4853/22821/3707/81848/153090/6714/3479/10252/8831/1435/64926/4851/4914/2048"
"GO:0042481","regulation of odontogenesis",12,-0.746493729690927,-1.75832456406435,0.0030447999179224,0.0324219580641136,0.0257926735979151,2654,"tags=75%, list=20%, signal=60%","947/860/7040/650/652/1906/147495/1435/4804"
"GO:0045600","positive regulation of fat cell differentiation",53,-0.507921854589662,-1.70996376556868,0.00303895439908205,0.0324219580641136,0.0257926735979151,2338,"tags=32%, list=17%, signal=27%","6789/10498/83643/650/688/1240/9580/5919/7538/7704/201501/677/655/25946/5743/6423/55885"
"GO:0014902","myotube differentiation",95,-0.432921418163165,-1.58556920294065,0.00305029382590765,0.0324219580641136,0.0257926735979151,1817,"tags=28%, list=13%, signal=25%","688/51804/170689/9780/57190/552/4627/3566/1794/284358/3479/1291/8506/246329/338773/4323/30846/79365/6261/6497/5339/4851/8912/4856/4666/575/11096"
"GO:0034284","response to monosaccharide",149,-0.378329471229375,-1.48474418580042,0.00303285493625964,0.0324219580641136,0.0257926735979151,2126,"tags=25%, list=16%, signal=21%","8398/57678/10723/7040/150/2822/55107/23236/83667/1636/80010/5936/252983/3673/84327/65010/5208/1293/3383/8622/1292/5106/8111/7057/177/8660/8938/285/1277/6720/6934/5176/50507/5743/9572/9024/1958"
"GO:0070168","negative regulation of biomineral tissue development",20,-0.663745314197763,-1.78363464798311,0.00306590531749793,0.0325247397441544,0.0258744396134006,880,"tags=45%, list=7%, signal=42%","2185/3091/7040/6662/4054/1230/1893/54829/4851"
"GO:0003197","endocardial cushion development",46,-0.543062659211015,-1.78341131452639,0.00310528104861066,0.032878739768075,0.026156057616008,3120,"tags=43%, list=23%, signal=34%","324/653/6909/182/6926/3516/8642/7046/2022/7048/650/652/6615/6662/26508/6091/655/7291/4851/11096"
"GO:0048771","tissue remodeling",127,-0.409704623433953,-1.56432826423739,0.00311157658078004,0.0328817957590539,0.0261584887516501,3096,"tags=42%, list=23%, signal=32%","2185/3635/6522/183/2149/3091/182/1445/5530/7128/2034/3516/7157/10312/54567/7076/4882/3988/7040/4883/4853/1636/1956/5371/10609/645811/1200/9066/861/1513/1436/9545/1969/2303/6714/4054/9770/4921/1291/177/79705/7060/6696/2324/338773/8792/558/4323/1464/53832/4313/50507/2316"
"GO:0010996","response to auditory stimulus",17,-0.686224675409133,-1.73883494779193,0.00314484107777009,0.0331692872056137,0.0263871971174016,1348,"tags=35%, list=10%, signal=32%","2596/9378/85358/3786/84189/9379"
"GO:0021543","pallium development",137,-0.406478191934478,-1.57662076396427,0.00315670221750388,0.0332303614204158,0.0264357835502298,2032,"tags=21%, list=15%, signal=18%","26153/23236/93986/266727/1956/57142/7832/25777/5914/1281/9353/84623/9289/153090/84750/2258/5649/10501/57178/4915/6091/55558/23135/5802/25987/2316/3400/66000/2353"
"GO:0042744","hydrogen peroxide catabolic process",17,0.675000881011317,1.89795438537403,0.00318837779590454,0.0334352108329146,0.0265987476137469,1339,"tags=41%, list=10%, signal=37%","3043/3040/3039/6622/2876/137902/25824"
"GO:0001508","action potential",114,-0.411944116506073,-1.55409887887214,0.00318830385435942,0.0334352108329146,0.0265987476137469,1410,"tags=22%, list=10%, signal=20%","10060/6330/2769/148/3790/6335/610/8514/79784/23171/5023/3786/2258/8506/6548/23704/10021/2859/4915/2702/3750/2316/2898/3748/3760"
"GO:0072078","nephron tubule morphogenesis",55,-0.50308687094117,-1.70418054060862,0.00323146590622011,0.0338222645710304,0.026906660871556,3400,"tags=47%, list=25%, signal=36%","26249/6608/54806/5311/153572/4609/183/8642/596/7422/5087/7040/650/9953/652/51804/255743/6662/25789/5310/6943/6299/3911/2719/55083/130497"
"GO:0007212","G protein-coupled dopamine receptor signaling pathway",29,-0.606610264490273,-1.78608785961146,0.00325352753399261,0.0338589538423489,0.02693584832525,2393,"tags=41%, list=18%, signal=34%","8787/2773/10681/5064/409/9630/2774/2769/5999/120892/2316/2775"
"GO:0060317","cardiac epithelial to mesenchymal transition",29,-0.606581645124685,-1.78600359347813,0.00325352753399261,0.0338589538423489,0.02693584832525,2787,"tags=52%, list=21%, signal=41%","182/6926/3516/7046/2022/7048/650/27250/57142/6615/10252/26508/7291/4851/3037"
"GO:0006936","muscle contraction",269,-0.351747056459307,-1.46573682614327,0.00324993776466036,0.0338589538423489,0.02693584832525,3150,"tags=34%, list=23%, signal=27%","6535/7169/10142/5144/8082/5997/7124/1829/323/55151/2149/6324/388591/6909/6926/1147/5587/143872/7171/9826/26509/23213/3815/136/7442/7135/488/6329/29766/2946/4607/9631/5294/3728/3759/150/3781/7139/1241/4092/55959/1906/255743/7852/80852/10060/6330/1136/3673/6781/148/5142/6335/8654/4624/219931/10848/6525/2934/5733/6915/487/79784/124093/23171/6752/5023/2258/246329/100/3164/6548/23704/10021/1311/59/4636/6261/4638/25802/2702/1910/2316/8912/5743/1145/4629/3778/2775/3357/3760/4635"
